Week, Title, URL,
Week 0, First meeting -- Aug 04 2021, https://hello.iitk.ac.in/cs711a21/#/lecture/13,
Week 1, Module 01: Introduction to Game Theory, https://hello.iitk.ac.in/cs711a21/#/lecture/5,
Week 1, Module 02: Introduction to Mechanism Design, https://hello.iitk.ac.in/cs711a21/#/lecture/6,
Week 1, Module 03: The Game of Chess, https://hello.iitk.ac.in/cs711a21/#/lecture/7,
Week 1, Module 04: Proof of the Chess Theorem, https://hello.iitk.ac.in/cs711a21/#/lecture/8,
Week 1, Module 05: Normal Form Games, https://hello.iitk.ac.in/cs711a21/#/lecture/9,
Week 1, Week 1 discussions -- Aug 11 2021, https://hello.iitk.ac.in/cs711a21/#/lecture/26,
Week 2, Module 06: Dominance, https://hello.iitk.ac.in/cs711a21/#/lecture/14,
Week 2, Module 07: Nash Equilibrium, https://hello.iitk.ac.in/cs711a21/#/lecture/15,
Week 2, Module 08: Maxmin Strategies, https://hello.iitk.ac.in/cs711a21/#/lecture/16,
Week 2, Module 09: Iterated Elimination of Dominated Str..., https://hello.iitk.ac.in/cs711a21/#/lecture/17,
Week 2, Module 10: Preservation of PSNE, https://hello.iitk.ac.in/cs711a21/#/lecture/18,
Week 2, Module 11: Matrix Games, https://hello.iitk.ac.in/cs711a21/#/lecture/19,
Week 2, Module 12: Maxmin and PSNE in Matrix Games, https://hello.iitk.ac.in/cs711a21/#/lecture/20,
